,Distance mahalanobis,Phrase,Index phrase,Roman
0,3.8478308,On n ’ entendait aucun bruit de pas dans les allées .,1625,0ducote.txt
1,4.6655617,"Pour revenir au son , qu ' on épaississe encore les boules qui ferment le conduit auditif , elles obligent au pianissimo la jeune fille qui jouait au - dessus de notre tête un air turbulent ;",12375,2guermantes1.txt
2,4.8147645,"J ' entendais le tic tac de la montre de Saint - Loup , laquelle ne devait pas être bien loin de moi .",12359,2guermantes1.txt
3,4.895736,"Je restai un instant devant sa porte fermée , car j ' entendais remuer ;",12347,2guermantes1.txt
4,4.945684,Enfin la berloque sonna comme j ’ arrivais à la maison .,38841,6retrouve1.txt
5,4.963286,"l ’ intérêt de la lecture , magique comme un profond sommeil , avait donné le change à mes oreilles hallucinées et effacé la cloche d ’ or sur la surface azurée du silence .",1002,0ducote.txt
6,5.011994,"Ceux qui étaient entrés ou rentrés dans ma mémoire , au cours de ce dîner , aimantaient à leur tour , appelaient à eux avec une telle force les pièces au milieu desquelles ils avaient l ' habitude d ' être enclavés , que mes mains électrisées ne purent pas résister plus de quarante - huit heures à la force qui les conduisait vers le volume où étaient reliés les _ Orientales _ et les _ Chants du Crépuscule _ .",18981,2guermantes3.txt
7,5.0713596,"Le pianissimo ne suffit plus , la boule fait instantanément fermer le clavier et la leçon de musique est brusquement finie ;",12377,2guermantes1.txt
8,5.1220894,"Les paroles qui s ' échangeaient entre les jeunes filles de la petite bande et moi étaient peu intéressantes , rares d ' ailleurs , coupées de ma part de longs silences .",11030,1ombre3.txt
9,5.16808,"Mon indignation fut plus grande quand , en arrivant à la maison où logeait Morel , je reconnus la voix du violoniste , lequel , par le besoin qu ' il avait d ' épandre de la gaîté , chantait de tout coeur : « Le samedi soir , après le turrbin ! »",26954,3sodome2.txt
10,5.1958923,Je croyais l ' entendre à cet endroit - là ;,12364,2guermantes1.txt
11,5.2275844,"il y en avait donc une que je n ’ avais pas entendue , quelque chose qui avait eu lieu n ’ avait pas eu lieu pour moi ;",1001,0ducote.txt
12,5.256041,Ce n ' était pas du reste que de la musique de lui que me jouait Albertine ;,33104,4laprison.txt
13,5.2794538,"Quand est - ce que je pourrai passer toute la sainte journée sous tes aubépines et nos pauvres lilas - - en écoutant les pinsons et la Vivonne qui fait comme le murmure de quelqu ' un qui chuchoterait , au lieu d ' entendre cette misérable sonnette de notre jeune maître qui ne reste jamais une demi - heure sans me faire courir le long de ce satané couloir .",11721,2guermantes1.txt
14,5.325981,"Puis j ' entendais le bruissement de la jupe d ' Albertine se dirigeant vers sa chambre , car par discrétion et sans doute aussi par ces égards où , autrefois , dans nos dîners à la Raspelière , elle s ' était ingéniée pour que je ne fusse pas jaloux , elle ne venait pas vers la mienne sachant que je n ' étais pas seul .",28592,4laprison.txt
15,5.3707213,"Soit que le croisement des rues , l ' interposition des maisons eussent causé par réfraction cette erreur d ' acoustique , soit qu ' il soit très difficile de situer un son dont la place ne nous est pas connue , je m ' étais trompé , tout autant sur la distance , que sur la direction .",12669,2guermantes1.txt
16,5.386901,"je ne l ' y entendais pas , je l ' y voyais , les sons n ' ont pas de lieu .",12365,2guermantes1.txt
17,5.41867,"Dans le calme absolu de ce quartier , j ' entendais devant moi des paroles et des rires qui devaient venir de promeneurs à demi avinés qui rentraient .",12665,2guermantes1.txt
18,5.420508,"Les efforts que faisait M . de Froberville pour qu ' on n ' entendît pas son rire l ' avaient fait devenir rouge comme un coq , et malgré cela c ' est en entrecoupant ses mots de hoquets de joie qu ' il s ' écria d ' un ton miséricordieux : « Oh ! pauvre tante Saint - Euverte , elle va en faire une maladie !",20890,3sodome1.txt
19,5.4280496,"Cela ne m ' empêchait pas de prendre à les écouter quand elles me parlaient autant de plaisir qu ' à les regarder , à découvrir dans la voix de chacune d ' elles un tableau vivement coloré .",11031,1ombre3.txt
20,5.4517164,"Certes il arrive quelquefois qu ' un malade auquel on a hermétiquement bouché les oreilles n ' entende plus le bruit d ' un feu pareil à celui qui rabâchait en ce moment dans la cheminée de Saint - Loup , tout en travaillant à faire des tisons et des cendres qu ' il laissait ensuite tomber dans sa corbeille , n ' entende pas non plus le passage des tramways dont la musique prenait son vol , à intervalles réguliers , sur la grand ' place de Doncières .",12367,2guermantes1.txt
21,5.481801,"il avait entendu un bruit singulier , j ' eus peine à le maîtriser et à ne pas être jeté à terre , puis je levai vers le point d ' où semblait venir ce bruit mes yeux pleins de larmes , et je vis à une cinquantaine de mètres au - dessus de moi , dans le soleil , entre deux grandes ailes d ' acier étincelant qui l ' emportaient , un être dont la figure peu distincte me parut ressembler à celle d ' un homme .",26448,3sodome2.txt
22,5.4890466,"Bien distincts dans ce quartier si tranquille ( où les bruits n ' étaient plus un motif de tristesse pour Françoise et en étaient devenus un de douceur pour moi ) m ' arrivaient , chacun avec sa modulation différente , des récitatifs déclamés par ces gens du peuple comme ils le seraient dans la musique , si populaire , de Boris , où une intonation initiale est à peine altérée par l ' inflexion d ' une note qui se penche sur une autre , musique de la foule qui est plutôt un langage qu ' une musique .",29416,4laprison.txt
23,5.493045,"C ' est ainsi qu ' il m ' arrivait à Paris , dans ma chambre , d ' entendre une dispute , presque une émeute , jusqu ' à ce que j ' eusse rapporté à sa cause , par exemple une voiture dont le roulement approchait , ce bruit dont j ' éliminais alors ces vociférations aiguës et discordantes que mon oreille avait réellement entendues , mais que mon intelligence savait que des roues ne produisaient pas .",10075,1ombre3.txt
24,5.514938,"Mais ce bonsoir durait si peu de temps , elle redescendait si vite , que le moment où je l ’ entendais monter , puis où passait dans le couloir à double porte le bruit léger de sa robe de jardin en mousseline bleue , à laquelle pendaient de petits cordons de paille tressée , était pour moi un moment douloureux .",117,0ducote.txt
25,5.5174184,"Je ne pense pas non plus que les légers et nombreux souvenirs qui se rapportaient à cette dame , et auxquels je ne cessais de demander de m ' aider ( par des exhortations comme celle - ci : « Voyons , c ' est cette dame qui est amie de Mme de Souvré , qui éprouve à l ' endroit de Victor Hugo une admiration si naïve , mêlée de tant d ' effroi et d ' horreur » ) , je ne crois pas que tous ces souvenirs , voletant entre moi et son nom , aient servi en quoi que ce soit à le renflouer .",20382,3sodome1.txt
26,5.525104,"Car après avoir presque « parlé » : « les escargots , ils sont frais , ils sont beaux » , c ' était avec la tristesse et le vague de Maeterlinck , musicalement transposés par Debussy , que le marchand d ' escargots , dans un de ces douloureux finales par où l ' auteur de _ Pelléas _ s ' apparente à Rameau : « Si je dois être vaincue , est - ce à toi d ' être mon vainqueur ? »",29419,4laprison.txt
27,5.5251184,"Mais parfois retentissait la sirène comme un appel déchirant de Walkyrie - - seule musique allemande qu ’ on eût entendue depuis la guerre - - jusqu ’ à l ’ heure où les pompiers annonçaient que l ’ alerte était finie tandis qu ’ à côté d ’ eux la berloque , comme un invisible gamin , commentait à intervalles réguliers la bonne nouvelle et jetait en l ’ air son cri de joie .",37900,6retrouve1.txt
28,5.544016,"Dans un bois l ' amateur d ' oiseaux distingue aussitôt ces gazouillis particuliers à chaque oiseau , que le vulgaire confond .",11034,1ombre3.txt
29,5.5455413,"Certaines des nourritures criées dans la rue , et que personnellement je détestais , étaient fort au goût d ' Albertine , si bien que Françoise en envoyait acheter par son jeune valet , peut - être un peu humilié d ' être confondu dans la foule plébéienne .",29415,4laprison.txt
30,5.551958,"La lourde rumeur d ' un bain qu ' on prépare s ' atténue , s ' allège et s ' éloigne comme un gazouillement céleste .",12369,2guermantes1.txt
31,5.574439,"Et même quand il ne bougeait pas , comme les gens vulgaires il faisait tout le temps entendre des bruits qui , du moment que je voyais monter la flamme , se montraient à moi des bruits de feu , mais que , si j ' eusse été de l ' autre côté du mur , j ' aurais cru venir de quelqu ' un qui se mouchait et marchait .",12354,2guermantes1.txt
32,5.622463,"Ces mots , j ' avais cessé de les entendre un instant pendant qu ' Albertine était auprès de moi tout à l ' heure .",27903,3sodome2.txt
33,5.63766,"Mais j ' étais obligé d ' attendre longtemps , car le silence environnant était si profond qu ' il avait laissé passer avec une netteté et une force extrêmes des bruits encore lointains .",12667,2guermantes1.txt
34,5.6576376,"Son sommeil n ' était qu ' une sorte d ' effacement du reste de la vie , qu ' un silence uni sur lequel prenaient de temps à autre leur vol des paroles familières de tendresse .",29390,4laprison.txt
35,5.668884,"Et comme notre nouveau quartier paraissait aussi calme que le boulevard sur lequel nous avions donné jusque - là était bruyant , la chanson ( distincte de loin , quand elle est faible , comme un motif d ' orchestre ) d ' un homme qui passait , faisait venir des larmes aux yeux de Françoise en exil .",11647,2guermantes1.txt
36,5.6784983,"il soufflait froid et continu d ' une autre direction venue du fond du passé , me rapportant la sonnerie d ' heures lointaines , des sifflements de départ que je n ' entendais pas d ' habitude .",35119,5disparue1.txt
37,5.6825175,"Ah ! ce ne fut pas la suppression de la souffrance que produisirent en moi les deux premières lignes du télégramme : « Mon pauvre ami , notre petite Albertine n ' est plus , pardonnez - moi de vous dire cette chose affreuse , vous qui l ' aimiez tant .",34325,5disparue1.txt
38,5.688667,"Ici c ' était bien encore à la déclamation à peine lyrique de Moussorgsky que faisait penser le marchand , mais pas à elle seulement .",29418,4laprison.txt
39,5.6898217,Et cette atténuation des sons trouble même quelquefois le sommeil au lieu de le protéger .,12380,2guermantes1.txt
40,5.695247,L ' amateur de jeunes filles sait que les voix humaines sont encore bien plus variées .,11035,1ombre3.txt
41,5.726849,"et aussi par les mouches qui exécutaient devant moi , dans leur petit concert , comme la musique de chambre de l ’ été : elle ne l ’ évoque pas à la façon d ’ un air de musique humaine , qui , entendu par hasard à la belle saison , vous la rappelle ensuite ;",958,0ducote.txt
42,5.7468295,"Les procédés de narration destinés à exciter la curiosité ou l ’ attendrissement , certaines façons de dire qui éveillent l ’ inquiétude et la mélancolie , et qu ’ un lecteur un peu instruit reconnaît pour communs à beaucoup de romans , me paraissaient simples - - à moi qui considérais un livre nouveau non comme une chose ayant beaucoup de semblables , mais comme une personne unique , n ’ ayant de raison d ’ exister qu ’ en soi , - - une émanation troublante de l ’ essence particulière à François le Champi .",484,0ducote.txt
43,5.7668343,"Mais , là , le sommeil avait fabriqué des sons .",25797,3sodome2.txt
44,5.77194,"Toutes en étaient , persuadées .",18307,2guermantes3.txt
45,5.773008,Je croyais l ' entendre .,12823,2guermantes1.txt
46,5.7886662,"mais cent fois par heure le courant interrompu était rétabli , et mon cœur était brûlé sans pitié par un feu d ' enfer , tandis que je voyais Albertine ressuscitée par ma jalousie , vraiment vivante , se raidir sous les caresses de la petite blanchisseuse à qui elle disait : « Tu me mets aux anges » .",34967,5disparue1.txt
47,5.789396,"« Et , mon vieux , ajoute l ’ amateur en vous prenant par le bras , moi c ’ est la huitième fois que je l ’ entends , et je vous jure bien que ce n ’ est pas la dernière . »",39417,6retrouve2.txt
48,5.8210616,"Certes la fantaisie , l ' esprit de chaque marchand ou marchande , introduisaient souvent des variantes dans les paroles de toutes ces musiques que j ' entendais de mon lit .",29425,4laprison.txt
49,5.848416,Il en différait autant que la déclamation - - à peine colorée par des variations insensibles - - de Boris Godounow et de Pelléas ;,29411,4laprison.txt
50,5.849782,"Une des jeunes filles que je ne connaissais pas se mit au piano , et Andrée demanda à Albertine de valser avec elle .",22591,3sodome1.txt
51,5.8571925,"aujourd ' hui , à la surface de silence étendue sur notre sommeil , un heurt plus fort que les autres arrive à se faire entendre , léger comme un soupir , sans lien avec aucun autre son , mystérieux ;",12382,2guermantes1.txt
